Date,Chinese tariffs on ROW exports,Chinese tariffs on US exports,US tariffs on Chinese exports,US tariffs on ROW exports
1-Jan-2018,8.0,8.0,3.1,2.2
7-Feb-2018,8.0,8.0,3.2,2.2
23-Mar-2018,8.0,8.0,3.8,2.5
2-Apr-2018,8.0,8.4,3.8,2.5
1-May-2018,8.0,8.3,3.8,2.5
1-Jun-2018,8.0,8.3,3.8,2.9
1-Jul-2018,6.9,7.2,3.8,2.9
6-Jul-2018,6.9,10.1,6.7,2.9
13-Aug-2018,6.9,10.1,6.7,2.9
23-Aug-2018,6.9,14.4,8.2,2.9
24-Sep-2018,6.9,18.3,12.0,2.9
1-Nov-2018,6.7,18.2,12.0,2.9
1-Jan-2019,6.7,16.5,12.0,2.9
7-Feb-2019,6.7,16.5,12.0,2.9
20-May-2019,6.7,16.5,12.0,2.9
21-May-2019,6.7,16.5,12.0,2.8
1-Jun-2019,6.7,20.7,17.6,2.8
1-Jul-2019,6.6,20.7,17.6,2.8
1-Sep-2019,6.6,21.8,21.0,2.8
18-Oct-2019,6.6,21.8,21.0,3.0
1-Jan-2020,6.6,21.8,21.0,3.0
7-Feb-2020,6.6,21.8,21.0,3.0
8-Feb-2020,6.6,21.8,21.0,3.0
14-Feb-2020,6.6,21.3,19.3,3.0
5-Mar-2020,6.6,21.3,19.3,3.0
1-Jul-2020,6.6,21.2,19.3,3.0
16-Aug-2020,6.6,21.2,19.3,3.0
1-Sep-2020,6.6,21.2,19.3,3.0
1-Jan-2021,6.6,21.2,19.3,3.0
14-Jan-2021,6.6,21.2,19.3,3.0
7-Feb-2021,6.6,21.2,19.3,3.0
11-Mar-2021,6.6,21.2,19.3,3.0
1-May-2021,6.6,21.2,19.3,3.0
1-Jul-2021,6.6,21.2,19.3,3.0
1-Jan-2022,6.5,21.2,19.3,3.0
7-Feb-2022,6.5,21.2,19.3,3.0
11-Apr-2022,6.5,21.2,19.3,3.0
1-Jun-2022,6.5,21.2,19.3,3.0
