Month,Exports,Imports,Balance
Jan-22,"11,475.20","47,846.90","-36,371.70"
Feb-22,"11,594.00","42,260.00","-30,666.00"
Mar-22,"13,375.10","47,373.50","-33,998.40"
Apr-22,"11,201.70","41,772.20","-30,570.50"
May-22,"12,321.30","43,864.40","-31,543.10"
Jun-22,"11,678.40","48,625.30","-36,946.90"
Jul-22,"12,267.20","46,664.10","-34,396.90"
Aug-22,"12,906.70","50,348.80","-37,442.10"
Sep-22,"11,953.50","49,247.90","-37,294.40"
Jan-21,"13,015.80","38,870.00","-25,854.30"
Feb-21,"9,261.30","33,871.50","-24,610.20"
Mar-21,"12,808.90","39,988.40","-27,179.60"
Apr-21,"11,905.60","37,408.50","-25,502.90"
May-21,"12,404.50","38,507.70","-26,103.10"
Jun-21,"12,139.80","39,819.40","-27,679.60"
Jul-21,"11,751.60","40,315.80","-28,564.20"
Aug-21,"11,239.10","42,896.50","-31,657.40"
Sep-21,"11,028.40","47,384.90","-36,356.50"
Oct-21,"16,678.50","47,986.70","-31,308.20"
Nov-21,"15,865.20","48,360.70","-32,495.50"
Dec-21,"13,343.60","49,525.50","-36,181.80"
Jan-20,"7,155.70","32,952.40","-25,796.70"
Feb-20,"6,826.60","22,581.60","-15,755.00"
Mar-20,"7,930.80","19,641.30","-11,710.50"
Apr-20,"8,630.70","30,740.30","-22,109.60"
May-20,"9,693.10","36,323.60","-26,630.50"
Jun-20,"9,237.40","37,293.40","-28,056.00"
Jul-20,"9,088.20","40,482.30","-31,394.00"
Aug-20,"10,962.80","40,613.40","-29,650.60"
Sep-20,"11,501.40","41,017.20","-29,515.70"
Oct-20,"14,802.60","44,672.40","-29,869.80"
Nov-20,"14,206.50","44,731.70","-30,525.10"
Dec-20,"14,508.10","41,633.90","-27,125.80"
Jan-19,"7,105.40","41,302.50","-34,197.10"
Feb-19,"8,083.60","33,027.80","-24,944.20"
Mar-19,"10,574.30","31,078.70","-20,504.40"
Apr-19,"7,900.40","34,499.50","-26,599.00"
May-19,"9,070.70","39,023.90","-29,953.20"
Jun-19,"9,168.50","38,733.00","-29,564.50"
Jul-19,"8,700.80","41,237.20","-32,536.30"
Aug-19,"9,413.50","40,955.60","-31,542.10"
Sep-19,"8,604.80","39,866.70","-31,261.90"
Oct-19,"8,854.90","39,794.90","-30,940.00"
Nov-19,"10,103.20","36,172.90","-26,069.70"
Dec-19,"8,901.20","33,418.10","-24,517.00"
Jan-18,"9,909.50","45,681.30","-35,771.90"
Feb-18,"9,743.10","38,956.20","-29,213.10"
Mar-18,"12,653.00","38,273.80","-25,620.80"
Apr-18,"10,509.60","38,227.80","-27,718.20"
May-18,"10,397.80","43,866.60","-33,468.80"
Jun-18,"10,855.70","44,524.00","-33,668.30"
Jul-18,"10,152.00","47,009.80","-36,857.80"
Aug-18,"9,278.10","47,796.20","-38,518.10"
Sep-18,"9,733.10","49,938.00","-40,204.90"
Oct-18,"9,188.70","52,081.10","-42,892.40"
Nov-18,"8,650.50","46,344.60","-37,694.10"
Dec-18,"9,210.20","45,814.90","-36,604.60"
Jan-17,"9,955.50","41,335.60","-31,380.00"
Feb-17,"9,739.80","32,785.00","-23,045.10"
Mar-17,"9,720.20","34,162.00","-24,441.80"
Apr-17,"9,806.50","37,441.90","-27,635.40"
May-17,"9,880.00","41,756.80","-31,876.80"
Jun-17,"9,718.20","42,258.10","-32,539.90"
Jul-17,"9,954.10","43,561.10","-33,607.00"
Aug-17,"10,825.50","45,782.30","-34,956.90"
Sep-17,"10,896.00","45,405.10","-34,509.10"
Oct-17,"12,963.20","48,133.10","-35,169.90"
Nov-17,"12,908.40","48,104.80","-35,196.40"
Dec-17,"13,629.90","44,439.40","-30,809.50"
